# 补充词典：ECDICT 里没有的词，手写音标与释义；三列以 Tab 分隔：拼写、音标、释义（多行用 | 分隔）
app	æp	n. 应用程序，手机应用
wifi	ˈwaɪfaɪ	n. 无线网络（Wi-Fi）
login	ˈlɒɡɪn	n. 登录；登录名|v. 登录
upload	ˌʌpˈloʊd	v. 上传|n. 上传
smartphone	ˈsmɑːrtfoʊn	n. 智能手机
screenshot	ˈskriːnʃɑːt	n. 截图|v. 截图
bluetooth	ˈbluːtuːθ	n. 蓝牙
earbuds	ˈɪrbʌdz	n. 入耳式耳机，耳塞式耳机
selfie	ˈselfi	n. 自拍
streaming	ˈstriːmɪŋ	n. 流媒体播放，在线播放|a. 流式的
emoji	ɪˈmoʊdʒi	n. 表情符号
hashtag	ˈhæʃtæɡ	n. 话题标签（#）
startup	ˈstɑːrtʌp	n. 初创公司；启动
phishing	ˈfɪʃɪŋ	n. 网络钓鱼（骗取账号密码的诈骗）
malware	ˈmælwer	n. 恶意软件
chatbot	ˈtʃætbɑːt	n. 聊天机器人
onboarding	ˈɑːnbɔːrdɪŋ	n. 入职引导；新用户引导
deliverable	dɪˈlɪvərəbl	n. 交付成果，交付物|a. 可交付的
utilities	juːˈtɪlətiz	n. 水电煤气等公用事业费用
copay	ˈkoʊpeɪ	n. （医保）自付额，看病时自付的固定费用
notarize	ˈnoʊtəraɪz	v. 公证
cosigner	ˈkoʊsaɪnər	n. 连带签署人，担保签字人
ibuprofen	ˌaɪbjuːˈproʊfən	n. 布洛芬（止痛退烧药）
acetaminophen	əˌsiːtəˈmɪnəfən	n. 对乙酰氨基酚（退烧止痛药，泰诺的成分）
carpool	ˈkɑːrpuːl	n. 拼车|v. 拼车
daycare	ˈdeɪker	n. 日托，托儿所
qr code	ˌkjuː ˈɑːr koʊd	n. 二维码
paywall	ˈpeɪwɔːl	n. 付费墙
podcast	ˈpɑːdkæst	n. 播客
unsubscribe	ˌʌnsəbˈskraɪb	v. 取消订阅
cybersecurity	ˌsaɪbərsɪˈkjʊrəti	n. 网络安全
telehealth	ˈtelihelθ	n. 远程医疗
timesheet	ˈtaɪmʃiːt	n. 工时表，考勤表
payslip	ˈpeɪslɪp	n. 工资单
video call	ˈvɪdioʊ kɔːl	n. 视频通话
# 雅思常见搭配（词典没有独立词条）
banquet hall		n. 宴会厅
flight number		n. 航班号
graduation ceremony		n. 毕业典礼
orientation meeting		n. 迎新会，入学 / 入职说明会
parking permit		n. 停车许可证
school timetable		n. 课程表
tourist guide		n. 导游；旅游指南
vacant seat		n. 空座位
work contract		n. 工作合同
light rail		n. 轻轨
head-on collision		n. 迎面相撞，正面碰撞
hit and run		n. 肇事逃逸
staff room		n. 教师办公室，员工休息室
optional course		n. 选修课
resource depletion		n. 资源枯竭
road junction		n. 道路交叉口，路口
water skiing		n. 滑水（运动）
students' union		n. 学生会
have a runny nose		phrase. 流鼻涕
propose a toast		phrase. 提议干杯，祝酒
worse still		phrase. 更糟的是
exam-oriented education		n. 应试教育
traffic regulation		n. 交通规则
